variety_name,species_scientificNameWithoutAuthor,genus,family,commonNames,gbif_id
Aau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Agbokasi,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Alobi,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Api d'été,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Api d'orange,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Atangatier,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Bailly,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Beaurichard,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Bec d'oie,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Belle de boskoop,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Belle de Limard,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Belle du bois,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Belle Fille de l'Indre,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Belle Fille de la Creuse,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Biboro,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Bilingombe,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Bitouna,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Blanc d'Espagne,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Bondon,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Bonnet carré,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Bosau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Calvin,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Châtaignière,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Clairefontaine,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Coing,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Coquette d'Auvergne,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Crarouge,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Cravert,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
D'Espagne,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
De Bonde,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
De Jeu,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
De tendre,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Double Bellefleur,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Drap d'or de la Creuse,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Ebe,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Ebiench,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Ebinin tomo,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Edzanavoué,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Elembe,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Elombé,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Esoungélé,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Ewoba,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Fer du Cher,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Feuillot,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Feuilloux,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Fouillaud,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Franc rougeau,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Fusa,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Golden delicious,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Gros locard,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Hollande Rouge,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Ilongo,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Jacquet,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Kyembutu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Leboack,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Lipumu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Losau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Losoo,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Losulomoi,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Lupumu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
M'chafou,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
M'puwa,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
M'safou,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
M'sau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mabongno,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Matete,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mbe,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mbelé,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mchafu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mombafu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mono nono,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mopou,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Mosau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Ndombe,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Nguili,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Nzi'safu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Opi,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Osau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Osoo,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Osouagué,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Pamba,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Pépin de Bourgueil,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Pierre,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Rador,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Rambour d'hiver,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Razot,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reine des Reinettes,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette blanche de la Creuse,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette bure,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette Clochard,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette de Villerette,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette des Châtres,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette dorée de l'Indre,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette du Mans,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette marbrée d'Auvergne,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette marbrée de la Creuse,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette Rouge de la Creuse,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Reinette sans pépin,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Rosa du Perche,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Sau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Solua,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Some,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Somi,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Somu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Soo,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Sou,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Sovu,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Soyau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
St Laurent de Brenne,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Téké,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Tosausau,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Tsétsékou,Pachylobus edulis,Pachylobus,Burseraceae,Eben tree,3993252
Vechter,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Vernade,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Vernajoux,Malus domestica,Malus,Rosaceae,Paradise apple,3001244
Antonina,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Cerise prune noire,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Clanio,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Côtelée d'Olmet,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Dix doigts de Naples,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Indigo blue beauty,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Levée d'hypothèque,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Pêche rose,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Prince noir,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Roma,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Rose claire,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Rose de Berne,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
St Pierre,Solanum lycopersicum,Solanum,Solanaceae,Garden Tomato,2930137
Black Beauty,Solanum melongena,Solanum,Solanaceae,Eggplant,2930617
Blanche de Dourga,Solanum melongena,Solanum,Solanaceae,Eggplant,2930617
Listada di Gandia,Solanum melongena,Solanum,Solanaceae,Eggplant,2930617
Longue de Barbentane,Solanum melongena,Solanum,Solanaceae,Eggplant,2930617
Amalthée,Cucurbita pepo,Cucurbita,Cucurbitaceae,Bitter bottle gourd,2874508
Blanche d'Egypte,Cucurbita pepo,Cucurbita,Cucurbitaceae,Bitter bottle gourd,2874508
Rheinau Gold,Cucurbita pepo,Cucurbita,Cucurbitaceae,Bitter bottle gourd,2874508
Ronde de Nice,Cucurbita pepo,Cucurbita,Cucurbitaceae,Bitter bottle gourd,2874508
Zuboda,Cucurbita pepo,Cucurbita,Cucurbitaceae,Bitter bottle gourd,2874508
