id,scientificNameWithoutAuthor,commonNames,gbifId,powoId,iucnCategory
1844990,× Amarcrinum memoria-corsii,Hybrid Amarcrinum; Cultivated Amarcrinum; Richard 's redlinelily,4013973,62653-1,
1844998,× Aporodisocactus mallisonii,Dragon's Eye; Crimson Cracker; Mallison's Crimson Cracker; Mallison's Dragon's eye,12293977,77220197-1,
1754905,× Astrolista bicarinata,Spotted Dragon Tongues; Pine Step; Star aloe,10678147,77165471-1,
1611915,× Brassocattleya litoralis,South Brasilian Orchid; Gold sGeal; Ovppyo; South Brazilian Orchid,2820316,60442618-2,
1833926,× Cattlianthe dabeibaensis,,10853575,77202302-1,
1845005,× Chitalpa tashkentensis,Chitalpa; Dave; Tashkent desert willow; Hybrid Chitalpa; Phoenix Tail; Pretty flower; Cultivated Chitalpa,4093332,959182-1,
1845006,× Comagaria rosea,Hybrid Strawberry,9710075,3241473-4,
1845009,× Cremneria expatriata,Pheonix Rose,4200586,273590-1,
1743850,× Crepi-hieracium garnieri,,4248853,199603-1,
1743469,× Elyhordeum rouxii,Switcheli,4114192,912427-1,
1845018,× Fatshedera lizei,Lizard Guillaumin,3597552,90493-1,
1845019,× Gasteraloe derbetzei,Potato Jockey Cactus; Derbetze's Hybrid Gasteraloe; Silver Tongue; Tongue of War,7719885,535725-1,
1888269,× Gasteraloe imbricata,,8048988,910675-1,
1888272,× Gasterhaworthia bayfieldii,,8419583,535732-1,
1886406,× Gastonialoe rebutii,Wily gily,12231575,77254739-1,
1886404,× Gastonialoe smaragdina,,12252908,77254741-1,
1893616,× Gordlinia grandiflora,,3590650,60447590-2,
1845037,× Harrisinopsis jusbertii,Scorpion Spine; Turksvy,5621746,963962-1,
1845039,× Hesperotropsis leylandii,Leyland Cypress,8030887,77120494-1,
1845040,× Hesperotropsis notabilis,Alice Holt cypress,10866482,77120495-1,
1754731,× Hoodiapelia beukmanii,Dragon Skin; Willow flower,3575615,98357-1,
1624064,× Laeliocattleya calimaniana,,7360445,77114837-1,
